screen,dose,repurposing_target,MOA,IDs,Drug.Name,Synonyms
REP.PRIMARY,2.5,,ATR KINASE INHIBITOR,BRD:BRD-K24556407-001-02-3,ETP-46464,ETP-46464
REP.PRIMARY,2.5,TGFBR1,TGF BETA RECEPTOR INHIBITOR,BRD:BRD-K24566386-001-01-9,SD-208,SD-208
REP.PRIMARY,2.5,"AURKA, AURKB, JAK2, JAK3, RPS6KA6, STK17A","AURORA KINASE INHIBITOR, JAK INHIBITOR",BRD:BRD-K24576554-001-04-8,AT-9283,AT-9283
REP.PRIMARY,2.5,"ALK, IGF1R","ALK TYROSINE KINASE RECEPTOR INHIBITOR, INSULIN GROWTH FACTOR RECEPTOR INHIBITOR",BRD:BRD-K24593301-001-02-3,AZD3463,AZD3463
REP.PRIMARY,2.5,"SLC5A1, SLC5A11, SLC5A2, SLC5A3",SODIUM/GLUCOSE COTRANSPORTER INHIBITOR,BRD:BRD-K24601397-001-01-1,PHLORIZIN,PHLORIZIN
REP.PRIMARY,2.5,CHRM3,ACETYLCHOLINE RECEPTOR ANTAGONIST,BRD:BRD-K24603946-001-02-1,5-HYDROXYMETHYL-TOLTERODINE,5-HYDROXYMETHYL-TOLTERODINE
REP.PRIMARY,2.5,"CHRNA2, GRIN3A, HTR3A, KCNMA1, KCNMB1, KCNMB2, KCNMB3, KCNMB4, KCNN1, KCNN2, KCNN3, KCNN4, MAOA, MAOB, RYR1, RYR2, SCN10A, SLC6A3",HMGCR INHIBITOR,BRD:BRD-K24616672-003-20-1,PROCAINE,PROCAINE
REP.PRIMARY,2.5,"NOS1, NOS2, NOS3",NITRIC OXIDE SYNTHASE INHIBITOR,BRD:BRD-K24689407-001-06-3,3-BROMO-7-NITROINDAZOLE,3-BROMO-7-NITROINDAZOLE
REP.PRIMARY,2.5,"IGF1R, INSR",IGF-1 INHIBITOR,BRD:BRD-K24696047-001-02-3,NVP-AEW541,NVP-AEW541
REP.PRIMARY,2.5,,IMMUNOSUPPRESSANT,BRD:BRD-K24697665-001-01-4,BUCILLAMINE,BUCILLAMINE
REP.PRIMARY,2.5,,DNA INTERCALATING AGENT,BRD:BRD-K24715592-406-02-1,ETHACRIDINE-LACTATE-MONOHYDRATE,ETHACRIDINE-LACTATE-MONOHYDRATE
REP.PRIMARY,2.5,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",ACETYLCHOLINE RECEPTOR ANTAGONIST,BRD:BRD-K24723746-036-02-5,SOLIFENACIN-SUCCINATE,SOLIFENACIN-SUCCINATE
REP.PRIMARY,2.5,"GRIA1, GRIA2, GRIA3, GRIA4",GLUTAMATE RECEPTOR AGONIST,BRD:BRD-K24771047-001-01-6,AMPALEX,AMPALEX
REP.PRIMARY,2.5,,,BRD:BRD-K24790130-001-07-1,TRICAPRYLIN,TRICAPRYLIN
REP.PRIMARY,2.5,,,BRD:BRD-K24820488-001-01-7,CH-170,CH-170
REP.PRIMARY,2.5,"CREBBP, EP300",BROMODOMAIN INHIBITOR,BRD:BRD-K24821794-001-01-4,SGC-CBP30,SGC-CBP30
REP.PRIMARY,2.5,"DPYD, TYMS",THYMIDYLATE SYNTHASE INHIBITOR,BRD:BRD-K24844714-001-24-5,5-FLUOROURACIL,5-FLUOROURACIL
REP.PRIMARY,2.5,EGFR,EGFR INHIBITOR,BRD:BRD-K24869513-001-02-1,CNX-2006,CNX-2006
REP.PRIMARY,2.5,,HCV INHIBITOR,BRD:BRD-K24943235-001-01-3,GRAZOPREVIR,GRAZOPREVIR
REP.PRIMARY,2.5,"ITGA4, ITGAV, ITGB1, ITGB7",INTEGRIN ANTAGONIST,BRD:BRD-K24968862-001-01-0,SB-683698,SB-683698
REP.PRIMARY,2.5,PTGER1,PROSTANOID RECEPTOR AGONIST,BRD:BRD-K25015158-001-01-2,LIMAPROST-ALFADEX,LIMAPROST-ALFADEX
REP.PRIMARY,2.5,"AKR1B1, NOS2, TIMP3",NITRIC OXIDE SYNTHASE INHIBITOR,BRD:BRD-K25114078-003-08-1,AMINOGUANIDINE,AMINOGUANIDINE
REP.PRIMARY,2.5,,GLUTAMATE RECEPTOR MODULATOR,BRD:BRD-K25140590-001-03-0,CX-516,CX-516
REP.PRIMARY,2.5,,CELL CYCLE INHIBITOR,BRD:BRD-K25186396-001-09-6,TANGERITIN,TANGERITIN
REP.PRIMARY,2.5,,HELICASE PRIMASE INHIBITOR,BRD:BRD-K25204779-001-01-1,PRITELIVIR,PRITELIVIR
REP.PRIMARY,2.5,"HTR2A, HTR7",SEROTONIN RECEPTOR ANTAGONIST,BRD:BRD-K25224017-001-25-0,PIRENPERONE,PIRENPERONE
REP.PRIMARY,2.5,"CSK, KDR, KIT, RET",RET TYROSINE KINASE INHIBITOR,BRD:BRD-K25244359-066-03-4,APATINIB,APATINIB
REP.PRIMARY,2.5,AURKA,AURORA KINASE INHIBITOR,BRD:BRD-K25279140-001-01-5,MK-8745,MK-8745
REP.PRIMARY,2.5,"ATM, PRKDC",ATM KINASE INHIBITOR,BRD:BRD-K25311561-001-10-7,KU-55933,KU-55933
REP.PRIMARY,2.5,OPRK1,OPIOID RECEPTOR AGONIST,BRD:BRD-K25312248-001-01-5,MATRINE,MATRINE
REP.PRIMARY,2.5,,,BRD:BRD-K25317177-065-01-4,MODALINE,MODALINE
REP.PRIMARY,2.5,"FLT1, KDR, KIT","KIT INHIBITOR, VEGFR INHIBITOR",BRD:BRD-K25340465-001-11-1,OSI-930,OSI-930
REP.PRIMARY,2.5,CXCR4,CC CHEMOKINE RECEPTOR ANTAGONIST,BRD:BRD-K25359048-001-02-6,WZ811,WZ811
REP.PRIMARY,2.5,"PTGS1, PTGS2",CYCLOOXYGENASE INHIBITOR,BRD:BRD-K25394294-001-14-9,OXAPROZIN,OXAPROZIN
REP.PRIMARY,2.5,"AKT1, AKT2, AKT3",AKT INHIBITOR,BRD:BRD-K25412176-001-01-9,GSK2110183,GSK2110183
REP.PRIMARY,2.5,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR2A, HTR2C, HTR7, SLC6A2","NOREPINEPHRINE REPUTAKE INHIBITOR, TRICYCLIC ANTIDEPRESSANT",BRD:BRD-K25433859-003-25-4,MAPROTILINE,MAPROTILINE
REP.PRIMARY,2.5,CSNK1A1,CDK INHIBITOR,BRD:BRD-K25486274-300-01-0,DRF053-(R),DRF053-(R)
REP.PRIMARY,2.5,GRM1,GLUTAMATE RECEPTOR ANTAGONIST,BRD:BRD-K25596805-001-01-8,JNJ-16259685,JNJ-16259685
REP.PRIMARY,2.5,"JAK2, JAK3",JAK INHIBITOR,BRD:BRD-K25630527-001-03-8,LY2784544,LY2784544
REP.PRIMARY,2.5,"MTNR1A, MTNR1B, NQO2",MELATONIN RECEPTOR AGONIST,BRD:BRD-K25649279-001-02-0,2-IODOMELATONIN,2-IODOMELATONIN
REP.PRIMARY,2.5,"ACHE, BCHE","ACETYLCHOLINESTERASE INHIBITOR, CHOLINESTERASE INHIBITOR",BRD:BRD-K25650355-065-02-0,PHYSOSTIGMINE,PHYSOSTIGMINE
REP.PRIMARY,2.5,MIF,MACROPHAGE MIGRATION INHIBITING FACTOR INHIBITOR,BRD:BRD-K25690923-001-02-4,4-IODO-6-PHENYLPYRIMIDINE,4-IODO-6-PHENYLPYRIMIDINE
REP.PRIMARY,2.5,,,BRD:BRD-K25691735-001-09-5,CHUANXIONGZINE,CHUANXIONGZINE
REP.PRIMARY,2.5,"HTR3A, OPRD1, OPRK1, OPRM1, SLC6A2, SLC6A4",OPIOID RECEPTOR AGONIST,BRD:BRD-K25699529-003-01-1,TAPENTADOL,TAPENTADOL
REP.PRIMARY,2.5,"AGTR1, AGTR2",ANGIOTENSIN RECEPTOR ANTAGONIST,BRD:BRD-K25723200-001-02-7,AZILSARTAN-MEDOXOMIL,AZILSARTAN-MEDOXOMIL
REP.PRIMARY,2.5,SYK,"JAK INHIBITOR, SYK INHIBITOR",BRD:BRD-K25835157-001-01-4,PRT062070,PRT062070
REP.PRIMARY,2.5,,BACTERIAL 50S RIBOSOMAL SUBUNIT INHIBITOR,BRD:BRD-K25837718-001-03-8,JOSAMYCIN,JOSAMYCIN
REP.PRIMARY,2.5,PRKCA,PROTEIN TYROSINE KINASE ACTIVATOR,BRD:BRD-K25875056-001-02-0,SC-9,SC-9
REP.PRIMARY,2.5,"HRH3, HRH4",HISTAMINE RECEPTOR AGONIST,BRD:BRD-K25906698-303-02-7,IMMEPIP,IMMEPIP
REP.PRIMARY,2.5,"DRD2, HTR2A","DOPAMINE RECEPTOR ANTAGONIST, SEROTONIN RECEPTOR ANTAGONIST",BRD:BRD-K25943794-001-02-3,BLONANSERIN,BLONANSERIN
REP.PRIMARY,2.5,RXRA,RETINOID RECEPTOR AGONIST,BRD:BRD-K25991633-001-01-9,BMS-649,BMS-649
REP.PRIMARY,2.5,,NOREPINEPHRINE REPUTAKE INHIBITOR,BRD:BRD-K26005076-001-12-8,GRAMINE,GRAMINE
REP.PRIMARY,2.5,PTPN1,TOPOISOMERASE INHIBITOR,BRD:BRD-K26011976-001-01-0,LICOCHALCONE-A,LICOCHALCONE-A
REP.PRIMARY,2.5,"ACACB, ACP1, APRT, MTAP, PECR, SRPK2",PROTEIN SYNTHESIS STIMULANT,BRD:BRD-K26060080-065-05-6,ADENINE,ADENINE
REP.PRIMARY,2.5,,IMIDAZOLINE RECEPTOR AGONIST,BRD:BRD-K26160755-003-02-6,RS-45041-190,RS-45041-190
REP.PRIMARY,2.5,"GABRA1, PPARG",PPAR RECEPTOR AGONIST,BRD:BRD-K26168087-001-09-7,MAGNOLOL,MAGNOLOL
REP.PRIMARY,2.5,,,BRD:BRD-K26222048-001-01-7,"TRANS-10,CIS-12-CONJUGATED-LINOLEIC-ACID","TRANS-10,CIS-12-CONJUGATED-LINOLEIC-ACID"
REP.PRIMARY,2.5,VCP,ATPASE INHIBITOR,BRD:BRD-K26253904-001-01-5,NMS-873,NMS-873
REP.PRIMARY,2.5,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, GRM5",GLUTAMATE RECEPTOR ANTAGONIST,BRD:BRD-K26262077-238-01-5,ACAMPROSATE,ACAMPROSATE
REP.PRIMARY,2.5,,K-RAS INHIBITOR,BRD:BRD-K26305185-001-02-1,K-RAS(G12C)-INHIBITOR-6,K-RAS(G12C)-INHIBITOR-6
REP.PRIMARY,2.5,SIGMAR1,SIGMA RECEPTOR ANTAGONIST,BRD:BRD-K26325692-003-01-3,API-001,API-001
REP.PRIMARY,2.5,,FREE RADICAL SCAVENGER,BRD:BRD-K26341917-001-01-3,L-ERGOTHIONEINE,L-ERGOTHIONEINE
REP.PRIMARY,2.5,KDM1A,HISTONE LYSINE DEMETHYLASE INHIBITOR,BRD:BRD-K26349472-001-01-3,OG-L002,OG-L002
REP.PRIMARY,2.5,IKBKB,"IKK INHIBITOR, SYK INHIBITOR",BRD:BRD-K26373640-001-05-1,IKK-2-INHIBITOR,IKK-2-INHIBITOR
REP.PRIMARY,2.5,,,BRD:BRD-K26502378-001-07-9,VANITIOLIDE,VANITIOLIDE
REP.PRIMARY,2.5,DOT1L,HISTONE LYSINE METHYLTRANSFERASE INHIBITOR,BRD:BRD-K26531771-001-01-4,EPZ-5676,EPZ-5676
REP.PRIMARY,2.5,DOT1L,HISTONE LYSINE METHYLTRANSFERASE INHIBITOR,BRD:BRD-K26531771-001-02-2,EPZ-5676,EPZ-5676
REP.PRIMARY,2.5,"DRD1, DRD2, DRD3, DRD4, HTR1A, HTR2A, HTR2B, HTR2C",DOPAMINE RECEPTOR AGONIST,BRD:BRD-K26548821-003-10-5,QUINPIROL-(-),QUINPIROL-(-)
REP.PRIMARY,2.5,CHRNA7,ADRENERGIC RECEPTOR AGONIST,BRD:BRD-K26573499-300-02-1,DMAB-ANABASEINE,DMAB-ANABASEINE
REP.PRIMARY,2.5,,,BRD:BRD-K26581543-001-01-6,BIFENDATE,BIFENDATE
REP.PRIMARY,2.5,"EGFR, KDR",EGFR INHIBITOR,BRD:BRD-K26603252-003-04-9,PD-153035,PD-153035
REP.PRIMARY,2.5,"GABRA1, GABRB2, GABRG2, GLRA1, GLRB",GABA RECEPTOR ANTAGONIST,BRD:BRD-K26619122-001-02-1,THIOCOLCHICOSIDE,THIOCOLCHICOSIDE
REP.PRIMARY,2.5,,BACTERIAL 50S RIBOSOMAL SUBUNIT INHIBITOR,BRD:BRD-K26634012-001-04-9,TILMICOSIN,TILMICOSIN
REP.PRIMARY,2.5,"TLR7, TLR8","INTERFERON INDUCER, TOLL-LIKE RECEPTOR AGONIST",BRD:BRD-K26657438-001-15-2,IMIQUIMOD,IMIQUIMOD
REP.PRIMARY,2.5,MAP2K1,MEK INHIBITOR,BRD:BRD-K26667523-001-02-5,TAK-733,TAK-733
REP.PRIMARY,2.5,,"HCV INHIBITOR, PROTEASE INHIBITOR",BRD:BRD-K26701552-001-01-8,TEGOBUVIR,TEGOBUVIR
REP.PRIMARY,2.5,CASP1,CASPASE INHIBITOR,BRD:BRD-K26712974-001-01-5,VX-765,VX-765
REP.PRIMARY,2.5,,BRONCHODILATOR,BRD:BRD-K26739552-003-15-4,FENSPIRIDE,FENSPIRIDE
REP.PRIMARY,2.5,ATR,ATR KINASE INHIBITOR,BRD:BRD-K26756394-001-02-2,VE-821,VE-821
REP.PRIMARY,2.5,"DRD2, HRH1, HTR1A, HTR1B, HTR1D, HTR2A",DOPAMINE RECEPTOR ANTAGONIST,BRD:BRD-K26801045-001-02-9,PIPAMPERONE,PIPAMPERONE
REP.PRIMARY,2.5,,,BRD:BRD-K26807903-001-04-3,AKLOMIDE,AKLOMIDE
REP.PRIMARY,2.5,"EHMT1, EHMT2",HISTONE LYSINE METHYLTRANSFERASE INHIBITOR,BRD:BRD-K26818574-305-04-3,BIX-01294,BIX-01294
REP.PRIMARY,2.5,CNR2,CANNABINOID RECEPTOR AGONIST,BRD:BRD-K26823213-001-02-9,GW-842166,GW-842166
REP.PRIMARY,2.5,,PROTEIN SYNTHESIS INHIBITOR,BRD:BRD-K26824830-001-02-0,AZOMYCIN-(2-NITROIMIDAZOLE),AZOMYCIN-(2-NITROIMIDAZOLE)
REP.PRIMARY,2.5,,TELOMERASE INHIBITOR,BRD:BRD-K26833429-001-02-8,COSTUNOLIDE,COSTUNOLIDE
REP.PRIMARY,2.5,"EGFR, ERBB2",EGFR INHIBITOR,BRD:BRD-K26838195-075-04-9,AST-1306,AST-1306
REP.PRIMARY,2.5,CYP1B1,ARYL HYDROCARBON RECEPTOR AGONIST,BRD:BRD-K26862302-001-05-2,DIOSMETIN,DIOSMETIN
REP.PRIMARY,2.5,"PTGS1, PTGS2",CYCLOOXYGENASE INHIBITOR,BRD:BRD-K26901728-001-06-2,LUMIRACOXIB,LUMIRACOXIB
REP.PRIMARY,2.5,EZH2,HISTONE LYSINE METHYLTRANSFERASE INHIBITOR,BRD:BRD-K26989966-001-03-5,UNC1999,UNC1999
REP.PRIMARY,2.5,TUBB,MICROTUBULE INHIBITOR,BRD:BRD-K26997899-001-02-2,D-64131,D-64131
REP.PRIMARY,2.5,"ESR1, ESR2",ESTROGENIC HORMONE,BRD:BRD-K27062708-001-23-1,CHLOROTRIANISENE,CHLOROTRIANISENE
REP.PRIMARY,2.5,,ANTIMALARIAL AGENT,BRD:BRD-K27135764-001-08-7,XANTHONE,XANTHONE
REP.PRIMARY,2.5,HTR4,SEROTONIN RECEPTOR ANTAGONIST,BRD:BRD-K27141178-003-07-3,SB-203186,SB-203186
REP.PRIMARY,2.5,GRIN1,GLUTAMATE RECEPTOR ANTAGONIST,BRD:BRD-K27168049-001-02-8,SDZ-220-581,SDZ-220-581
REP.PRIMARY,2.5,"ABL1, BCR",BCR-ABL KINASE INHIBITOR,BRD:BRD-K27182532-001-02-3,METATINIB,METATINIB
REP.PRIMARY,2.5,HRH1,HISTAMINE RECEPTOR ANTAGONIST,BRD:BRD-K27184429-300-01-3,LEVOCETIRIZINE,LEVOCETIRIZINE
REP.PRIMARY,2.5,CTSK,CATHEPSIN INHIBITOR,BRD:BRD-K27204852-001-01-9,BALICATIB,BALICATIB
REP.PRIMARY,2.5,,SODIUM CHANNEL BLOCKER,BRD:BRD-K27217864-001-22-3,BUTAMBEN,BUTAMBEN
REP.PRIMARY,2.5,"AKT1, CHEK1, GSK3B, LCK, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIM1, PLK1, PRKCA, PRKDC, ROCK1, RPS6KB1, SGK1","DNA DEPENDENT PROTEIN KINASE INHIBITOR, MTOR INHIBITOR, PHOSPHODIESTERASE INHIBITOR, PI3K INHIBITOR, PLK INHIBITOR",BRD:BRD-K27305650-001-16-6,LY294002,LY294002
REP.PRIMARY,2.5,VDR,VITAMIN D RECEPTOR AGONIST,BRD:BRD-K27316855-001-13-3,CALCITRIOL,CALCITRIOL
REP.PRIMARY,2.5,VDR,VITAMIN D RECEPTOR AGONIST,BRD:BRD-K27316855-001-19-0,CALCITRIOL,CALCITRIOL
REP.PRIMARY,2.5,HSP90AA1,,BRD:BRD-K27335680-001-10-0,RHEIN,RHEIN
REP.PRIMARY,2.5,PGR,PROGESTERONE RECEPTOR AGONIST,BRD:BRD-K27351809-001-09-5,NOMEGESTROL-ACETATE,NOMEGESTROL-ACETATE
REP.PRIMARY,2.5,,ANTIMALARIAL AGENT,BRD:BRD-K27382019-418-01-9,PIPERAQUINE-PHOSPHATE,PIPERAQUINE-PHOSPHATE
REP.PRIMARY,2.5,SLC12A3,CARBONIC ANHYDRASE INHIBITOR,BRD:BRD-K27393415-001-01-0,XIPAMIDE,XIPAMIDE
REP.PRIMARY,2.5,,,BRD:BRD-K27406233-001-07-7,ACETYL-L-LEUCINE,ACETYL-L-LEUCINE
REP.PRIMARY,2.5,P2RY12,PURINERGIC RECEPTOR ANTAGONIST,BRD:BRD-K27721098-065-08-6,CLOPIDOGREL,CLOPIDOGREL
REP.PRIMARY,2.5,"GSG2, PKIA, PRKACA",PKA INHIBITOR,BRD:BRD-K27737647-300-03-0,H-89,H-89
REP.PRIMARY,2.5,,PROTEIN SYNTHESIS INHIBITOR,BRD:BRD-K27771035-001-02-5,CLINDAMYCIN-PHOSPHATE,CLINDAMYCIN-PHOSPHATE
REP.PRIMARY,2.5,,CALCIUM CHANNEL MODULATOR,BRD:BRD-K27799744-001-02-8,CYCLOVIROBUXIN-D,CYCLOVIROBUXIN-D
REP.PRIMARY,2.5,"ADRA1A, ADRA2A, ADRB1, ADRB2, DRD1",ADRENERGIC RECEPTOR AGONIST,BRD:BRD-K27853494-003-04-7,"1S,2R-PHENYLPROPANOLAMINE","1S,2R-PHENYLPROPANOLAMINE"
REP.PRIMARY,2.5,,BACTERIAL CELL WALL SYNTHESIS INHIBITOR,BRD:BRD-K27871792-001-01-8,FLUCLOXACILLIN,FLUCLOXACILLIN
REP.PRIMARY,2.5,,POTASSIUM CHANNEL BLOCKER,BRD:BRD-K27911943-001-02-8,"CHROMANOL-293B-(-)-[3R,4S]","CHROMANOL-293B-(-)-[3R,4S]"
REP.PRIMARY,2.5,,ANGIOGENESIS INHIBITOR,BRD:BRD-K27938825-001-02-4,ASA-404,ASA-404
REP.PRIMARY,2.5,MGMT,O6-ALKYLGUANINE-DNA ALKYLTRANSFERASE INHIBITOR,BRD:BRD-K27955832-001-02-9,LOMEGUATRIB,LOMEGUATRIB
REP.PRIMARY,2.5,"HTR2A, HTR2B, HTR2C",SEROTONIN RECEPTOR AGONIST,BRD:BRD-K28007504-051-01-2,RO-60-0175,RO-60-0175
REP.PRIMARY,2.5,HTR3A,SEROTONIN RECEPTOR ANTAGONIST,BRD:BRD-K28029915-001-02-2,DOLASETRON,DOLASETRON
REP.PRIMARY,2.5,,CC CHEMOKINE RECEPTOR ANTAGONIST,BRD:BRD-K28059174-334-01-2,INCB-003284,INCB-003284
REP.PRIMARY,2.5,PTAFR,PLATELET ACTIVATING FACTOR RECEPTOR ANTAGONIST,BRD:BRD-K28115081-001-02-7,APAFANT,APAFANT
REP.PRIMARY,2.5,"IKBKB, RELA",NFKB PATHWAY INHIBITOR,BRD:BRD-K28120222-001-08-4,PARTHENOLIDE-(ALTERNATE-STEREO),PARTHENOLIDE-(ALTERNATE-STEREO)
REP.PRIMARY,2.5,,GLUTAMATE RECEPTOR AGONIST,BRD:BRD-K28121004-001-01-1,N-ACETYLGLYCYL-D-GLUTAMIC-ACID,N-ACETYLGLYCYL-D-GLUTAMIC-ACID
REP.PRIMARY,2.5,"ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, HRH1, HTR2A, HTR2C, HTR6, HTR7",HISTAMINE RECEPTOR ANTAGONIST,BRD:BRD-K28143534-001-02-2,CYPROHEPTADINE,CYPROHEPTADINE
REP.PRIMARY,2.5,"ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, HRH1, HTR2A, HTR2C, HTR6, HTR7",HISTAMINE RECEPTOR ANTAGONIST,BRD:BRD-K28143534-003-25-9,CYPROHEPTADINE,CYPROHEPTADINE
REP.PRIMARY,2.5,DHFR,DIHYDROFOLATE REDUCTASE INHIBITOR,BRD:BRD-K28183345-003-11-4,PROGUANIL,PROGUANIL
REP.PRIMARY,2.5,OPRK1,OPIOID RECEPTOR AGONIST,BRD:BRD-K28192623-066-08-1,SPIRADOLINE,SPIRADOLINE
REP.PRIMARY,2.5,,BACTERIAL CELL WALL SYNTHESIS INHIBITOR,BRD:BRD-K28210218-236-08-1,CEPHALOTHIN,CEPHALOTHIN
REP.PRIMARY,2.5,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6",GABA RECEPTOR MODULATOR,BRD:BRD-K28217197-001-01-4,GANAXOLONE,GANAXOLONE
REP.PRIMARY,2.5,"AHR, AR",ANDROGEN RECEPTOR ANTAGONIST,BRD:BRD-K28307902-001-21-7,FLUTAMIDE,FLUTAMIDE
REP.PRIMARY,2.5,HRH3,HISTAMINE RECEPTOR AGONIST,BRD:BRD-K28308851-303-01-8,ALPHA-METHYLHISTAMINE-DIHYDROBROMIDE-(S)-(+),ALPHA-METHYLHISTAMINE-DIHYDROBROMIDE-(S)-(+)
REP.PRIMARY,2.5,,ECDYSONE RECEPTOR MODULATOR,BRD:BRD-K28343777-001-01-6,20-HYDROXYECDYSONE,20-HYDROXYECDYSONE
REP.PRIMARY,2.5,"MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG",PI3K INHIBITOR,BRD:BRD-K28352084-001-02-3,CH5132799,CH5132799
REP.PRIMARY,2.5,"BCL2, BCL2L1, MCL1",BCL INHIBITOR,BRD:BRD-K28360340-001-08-3,TW-37,TW-37
REP.PRIMARY,2.5,MTOR,,BRD:BRD-K28383148-001-01-4,AP1903,AP1903
REP.PRIMARY,2.5,"FGFR1, FGFR2, FGFR3, FGFR4, IGF1R, KDR",FGFR INHIBITOR,BRD:BRD-K28392481-001-05-1,AZD4547,AZD4547
REP.PRIMARY,2.5,,,BRD:BRD-K28405228-001-06-7,MECARBINATE,MECARBINATE
REP.PRIMARY,2.5,"CYP3A4, FGFR1, FLT1, KCNH2, KDR","FGFR INHIBITOR, VEGFR INHIBITOR",BRD:BRD-K28428262-001-04-1,BRIVANIB,BRIVANIB
REP.PRIMARY,2.5,,HCV INHIBITOR,BRD:BRD-K28442028-001-01-3,R-1479,R-1479
REP.PRIMARY,2.5,CHRM1,CHOLINERGIC RECEPTOR ANTAGONIST,BRD:BRD-K28453807-003-11-2,NITROCARAMIPHEN,NITROCARAMIPHEN
REP.PRIMARY,2.5,VDR,VITAMIN D RECEPTOR AGONIST,BRD:BRD-K28456624-001-01-1,SEOCALCITOL,SEOCALCITOL
REP.PRIMARY,2.5,,,BRD:BRD-K28492574-001-01-6,PICONOL,PICONOL
REP.PRIMARY,2.5,,PABA ANTAGONIST,BRD:BRD-K28494619-001-28-2,SULFAMETHOXAZOLE,SULFAMETHOXAZOLE
REP.PRIMARY,2.5,,PROSTANOID RECEPTOR ANTAGONIST,BRD:BRD-K28542495-003-13-5,BENZYDAMINE,BENZYDAMINE
REP.PRIMARY,2.5,SCN10A,SODIUM CHANNEL BLOCKER,BRD:BRD-K28570407-001-02-0,A-803467,A-803467
REP.PRIMARY,2.5,"PDE3A, PDE3B",PHOSPHODIESTERASE INHIBITOR,BRD:BRD-K28578425-001-07-0,CILOSTAMIDE,CILOSTAMIDE
REP.PRIMARY,2.5,,EXCIPIENT,BRD:BRD-K28595280-001-04-5,MEGLUMINE,MEGLUMINE
REP.PRIMARY,2.5,FASN,FATTY ACID SYNTHASE INHIBITOR,BRD:BRD-K28667793-001-28-1,PYRAZINAMIDE,PYRAZINAMIDE
REP.PRIMARY,2.5,,STEROID,BRD:BRD-K28690501-001-02-1,DIOSGENIN,DIOSGENIN
REP.PRIMARY,2.5,"ADRA1A, ADRA2A, DRD1, DRD2, DRD5, HRH1, HTR2A",DOPAMINE RECEPTOR ANTAGONIST,BRD:BRD-K28761384-300-01-0,ZUCLOPENTHIXOL,ZUCLOPENTHIXOL
REP.PRIMARY,2.5,"MTNR1A, MTNR1B",MELATONIN RECEPTOR AGONIST,BRD:BRD-K28761891-001-10-1,RAMELTEON,RAMELTEON
REP.PRIMARY,2.5,"HDAC1, HDAC3, HDAC6, HDAC8",HDAC INHIBITOR,BRD:BRD-K28822270-001-01-1,RESMINOSTAT,RESMINOSTAT
REP.PRIMARY,2.5,,CHOLERETIC AGENT,BRD:BRD-K28824103-001-02-8,GENIPIN,GENIPIN
REP.PRIMARY,2.5,,CHOLERETIC AGENT,BRD:BRD-K28824103-001-04-4,GENIPIN,GENIPIN
REP.PRIMARY,2.5,"ALOX5, CHUK, IKBKB, MPO, PPARG, PTGS1, PTGS2","CYCLOOXYGENASE INHIBITOR, LIPOXYGENASE INHIBITOR, PROSTANOID RECEPTOR ANTAGONIST",BRD:BRD-K28849549-001-13-4,MESALAZINE,MESALAZINE
REP.PRIMARY,2.5,DGAT1,DIACYLGLYCEROL O ACYLTRANSFERASE INHIBITOR,BRD:BRD-K28861668-001-01-9,A922500,A922500
REP.PRIMARY,2.5,CHRNA7,CHOLINERGIC RECEPTOR AGONIST,BRD:BRD-K28863208-001-02-0,PNU-282987,PNU-282987
REP.PRIMARY,2.5,RARG,RETINOID RECEPTOR AGONIST,BRD:BRD-K28907958-001-04-3,CD-437,CD-437
REP.PRIMARY,2.5,"BST1, LDHA, PARP1, SIRT5",PROTEIN SYNTHESIS STIMULANT,BRD:BRD-K28912512-001-23-2,NICOTINAMIDE,NICOTINAMIDE
REP.PRIMARY,2.5,"HRH1, PDE4A, PDE4B, PDE4C, PDE4D, PDE7A, PDE7B, PDE8A, PDE8B, PGD","HISTAMINE RECEPTOR AGONIST, LEUKOTRIENE RECEPTOR ANTAGONIST, PHOSPHODIESTERASE INHIBITOR",BRD:BRD-K28936863-051-33-0,KETOTIFEN (FUMARATE),"KETOTIFEN, KETOTIFEN (FUMARATE)"
REP.PRIMARY,2.5,,MAP KINASE INHIBITOR,BRD:BRD-K28965160-001-01-1,BVD-523,BVD-523
REP.PRIMARY,2.5,ADRB3,ADRENERGIC RECEPTOR AGONIST,BRD:BRD-K28971625-003-01-4,ZD-7114,ZD-7114
REP.PRIMARY,2.5,,,BRD:BRD-K28982731-001-01-6,EMOXIPIN,EMOXIPIN
