""	"chr10p"	"chr10q"	"chr11p"	"chr11q"	"chr12p"	"chr12q"	"chr13q"	"chr14q"	"chr15q"	"chr16p"	"chr16q"	"chr17p"	"chr17q"	"chr18p"	"chr18q"	"chr19p"	"chr19q"	"chr1p"	"chr1q"	"chr20p"	"chr20q"	"chr21q"	"chr22q"	"chr2p"	"chr2q"	"chr3p"	"chr3q"	"chr4p"	"chr4q"	"chr5p"	"chr5q"	"chr6p"	"chr6q"	"chr7p"	"chr7q"	"chr8p"	"chr8q"	"chr9p"	"chr9q"
"MKN45_STOMACH"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	-1	0	0	0	0	-1	0	1	0	0	-1	1	0	-1	0	-1	-1
"HCC56_LARGE_INTESTINE"	-1	0	1	0	0	0	1	0	0	1	0	-1	0	-1	-1	0	0	-1	0	0	0	0	-1	0	0	0	1	-1	-1	-1	1	0	-1	0	0	-1	0	1	0
"KMRC3_KIDNEY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	1	0	-1	0	0	0	0	0	0
"DMS153_LUNG"	-1	0	0	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	0	0	1	0	0	0	0	0	0	-1	0	-1	0	1	-1	0	0	1	0	-1	0	0	0
"8505C_THYROID"	-1	-1	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	0	0	0	-1	1	1	1	-1	-1	0	1	1	-1	-1	0	0	0	0	0	0	-1	0	0	1
"SKOV3_OVARY"	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	0
"ZR7530_BREAST"	0	0	0	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0
"UACC812_BREAST"	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	-1	0	-1	0	-1	0	1	0	0	0	0	0	-1	-1	-1	0	0	0	0	-1	0	1	-1	-1
"NCIH2023_LUNG"	0	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	-1	1	0	0	0	0	0	0	0	0	-1	0	-1	0	1	-1	0	0	1	0	-1	1	-1	0
"HS729_SOFT_TISSUE"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	-1	0
"NCIH1623_LUNG"	-1	-1	-1	0	1	0	0	0	0	-1	0	-1	0	-1	0	-1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	-1	1	1	0	1	-1	0
"NCIH1618_LUNG"	-1	0	-1	-1	0	0	0	0	-1	0	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	-1	0	0	0	1	-1	0	1	0	0	-1	1	0	0
"RERFGC1B_STOMACH"	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	-1	0	1	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	0
"MPP89_PLEURA"	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	1
"HEP3B217_LIVER"	-1	-1	1	-1	0	0	-1	-1	0	0	-1	0	0	-1	-1	0	0	-1	1	0	0	0	0	0	0	0	0	1	-1	0	-1	1	0	1	0	-1	0	0	0
"ISTMES1_PLEURA"	0	0	0	0	0	0	-1	1	0	0	0	0	0	-1	-1	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	-1	0
"OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NCIH2073_LUNG"	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1	1	0	0
"SHP77_LUNG"	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	1	0	0	0	1	0	1	1	-1	0
"SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"NCIH1836_LUNG"	0	0	0	0	0	1	0	1	-1	-1	0	0	0	1	-1	0	0	0	0	1	0	0	-1	0	0	-1	1	1	0	1	-1	0	0	0	0	1	1	1	-1
"HCC1599_BREAST"	0	0	0	0	0	0	-1	0	0	0	0	-1	0	1	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	1	0	0
"NCIH727_LUNG"	-1	0	0	1	0	1	0	0	0	0	0	0	-1	0	0	0	0	-1	0	1	1	0	-1	0	0	-1	0	0	0	0	0	-1	0	0	0	0	1	0	0
"P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TT2609C02_THYROID"	0	1	0	0	1	0	0	0	0	0	0	-1	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	1	1	0	0	0	1
"ML1_THYROID"	0	1	-1	-1	0	0	-1	0	1	1	1	-1	1	-1	-1	-1	0	1	1	1	1	0	1	0	0	-1	0	0	0	1	1	-1	-1	1	1	0	1	-1	0
"JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SIMA_AUTONOMIC_GANGLIA"	0	0	-1	-1	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"COLO320_LARGE_INTESTINE"	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
"JIMT1_BREAST"	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	1	1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0
"SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"HN_UPPER_AERODIGESTIVE_TRACT"	-1	0	0	0	-1	0	0	0	-1	0	0	0	0	-1	-1	0	0	0	0	-1	1	0	1	1	0	0	0	0	-1	1	0	1	0	1	0	-1	1	0	0
"SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	-1	1	1	0
"BHY_UPPER_AERODIGESTIVE_TRACT"	-1	0	1	0	0	0	0	0	0	-1	0	-1	0	-1	-1	0	0	0	-1	1	1	-1	0	0	0	-1	0	0	-1	1	0	0	-1	0	0	0	1	1	0
"BC3C_URINARY_TRACT"	0	0	0	0	0	0	0	1	0	0	1	0	0	-1	-1	0	0	0	0	1	1	0	0	-1	0	0	1	-1	-1	-1	0	0	0	0	-1	1	1	1	1
"BFTC909_KIDNEY"	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	1	1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	1	-1	1	0	0
"2313287_STOMACH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CL11_LARGE_INTESTINE"	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	-1	1	1	0	0	0	0
"MHHES1_BONE"	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	1	0	1
"HDQP1_BREAST"	1	0	0	0	1	0	1	0	0	0	0	0	0	1	-1	0	0	0	0	-1	1	0	0	0	0	0	0	-1	-1	1	0	1	1	1	1	-1	0	-1	0
"COLO680N_OESOPHAGUS"	-1	-1	0	0	0	0	-1	1	0	-1	0	0	1	1	-1	-1	0	0	0	1	0	0	0	0	0	-1	0	-1	-1	1	0	0	0	1	0	-1	1	0	0
"BEN_LUNG"	0	0	0	0	0	1	0	0	0	1	1	0	1	-1	1	0	0	0	0	1	1	0	-1	0	1	-1	0	0	0	1	0	0	0	1	0	0	0	-1	0
"BHT101_THYROID"	-1	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	1	-1	0	0	0
"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	1	0	-1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"BFTC905_URINARY_TRACT"	-1	0	-1	-1	0	0	0	0	0	-1	1	-1	0	1	-1	0	-1	0	0	0	0	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	-1	0
"SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	1	0	0	0	0	0	0	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	1	0	0
"S117_SOFT_TISSUE"	-1	0	0	-1	0	0	-1	0	0	-1	1	-1	0	0	-1	0	0	1	0	1	1	-1	0	0	0	0	0	0	0	-1	0	1	1	0	0	0	0	0	-1
"RH30_SOFT_TISSUE"	0	0	1	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1	-1	0
"RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	1	0	1	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	-1	0	0	0	0	0	0	0	0
"MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1	0	0	1	0	0
"CAL78_BONE"	0	0	1	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0
"HCC33_LUNG"	0	-1	-1	0	1	-1	1	1	0	0	0	-1	1	1	1	-1	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	1	0	-1	0	0	-1
"BCPAP_THYROID"	-1	0	1	1	0	1	-1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	-1	0	0	0	0	0	0	1	1	0	0	0	-1	0	0	-1	0
"CAL120_BREAST"	0	0	0	1	1	-1	-1	0	-1	0	0	0	0	1	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	-1	0
"LCLC103H_LUNG"	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	1	0	0	0	-1	0	0	1
"SCLC21H_LUNG"	-1	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0
"REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	1	0	0	-1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	-1	0	0	0	-1	0	0	-1	1	0	1
"CAL62_THYROID"	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	1	1	-1	0	0	0	-1	1	-1	-1	0	0	1	-1	0	0	-1	1	1	1
"RVH421_SKIN"	-1	-1	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	-1	0	1	1	1	0	0
"CL34_LARGE_INTESTINE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CHP126_AUTONOMIC_GANGLIA"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
"SW1116_LARGE_INTESTINE"	-1	0	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	1	0	-1	0	0	-1	1	0	-1	1	1	-1	0	1	0	-1	0	0	0
"KU1919_URINARY_TRACT"	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0
"JMSU1_URINARY_TRACT"	0	0	0	0	0	0	0	0	-1	-1	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	-1	0	0	0
"KATOIII_STOMACH"	0	0	-1	1	0	0	0	0	0	0	0	0	1	-1	-1	-1	0	0	0	0	1	-1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
"U178_CENTRAL_NERVOUS_SYSTEM"	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"SF172_CENTRAL_NERVOUS_SYSTEM"	0	0	0	0	0	0	1	0	0	0	0	0	-1	-1	0	0	0	0	0	1	1	0	-1	1	0	0	1	0	0	1	0	0	0	1	0	-1	0	-1	0
"HCC1897_LUNG"	0	0	-1	0	0	0	-1	0	-1	0	0	-1	0	0	0	-1	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	-1	-1	0	1	-1	1	-1	0
"EWS502_BONE"	-1	0	-1	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	1	-1	0
"UMRC2_KIDNEY"	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	1	0	0	1	1	1	1	0	0
"RCC4_KIDNEY"	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1
"SLR25_KIDNEY"	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	-1	0	0	0
"UOK101_KIDNEY"	0	0	0	0	0	0	-1	-1	0	0	-1	0	1	-1	-1	0	0	0	0	1	1	1	1	0	0	-1	1	-1	-1	1	0	0	0	1	0	0	0	0	1
"SLR20_KIDNEY"	-1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	-1	0	0	0	0	0	0	-1	1	-1	-1	0	0	-1	-1	0	0	0
"UMRC6_KIDNEY"	0	0	-1	-1	0	0	0	-1	0	0	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	-1	1	-1	-1	0	0	-1	-1	1	1	0	1	-1	0
"SLR26_KIDNEY"	-1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	1	0	0	0	0	1	-1	0	1	0
"HMEL_BREAST"	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"EW8_BONE"	-1	0	0	0	1	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	-1	1	1	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0
"ONCODG1_OVARY"	-1	0	1	-1	0	0	-1	0	0	-1	-1	0	0	1	-1	-1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	0	0	-1
"SLR23_KIDNEY"	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	0	1	1	1	1	0	0	0	0	-1	0	0	0	0	1	0	0	1	1	0	0	0	0
"FTC238_THYROID"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0
"NCIH1299_LUNG"	-1	-1	-1	0	1	0	-1	0	0	-1	0	0	0	1	-1	0	0	0	0	0	1	0	0	0	0	0	0	1	-1	0	0	1	1	0	0	-1	1	0	0
"MORCPR_LUNG"	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	-1	1
"DANG_PANCREAS"	0	0	0	1	0	0	0	0	-1	0	0	-1	0	-1	-1	0	0	0	0	-1	1	0	0	0	0	-1	1	-1	-1	1	-1	0	0	0	1	-1	1	-1	1
"NCIH838_LUNG"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0
"CORL23_LUNG"	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	-1	-1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
"NCIH810_LUNG"	-1	0	0	0	1	0	0	0	0	0	0	-1	0	-1	0	-1	0	0	0	1	0	0	0	0	0	-1	1	0	0	1	0	0	0	1	0	0	0	0	0
"CAL12T_LUNG"	0	0	0	0	0	1	1	1	0	-1	0	0	0	-1	-1	-1	-1	0	0	1	1	1	-1	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0
"NCIH1155_LUNG"	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
"KNS62_LUNG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
"NCIH460_LUNG"	0	0	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	-1	-1	-1	1	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
"NCIH522_LUNG"	-1	0	1	1	0	0	-1	0	0	0	0	-1	1	1	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	-1	-1	0	0
"PC14_LUNG"	0	0	0	0	1	0	0	0	0	1	0	1	0	1	-1	0	0	0	0	0	1	-1	0	0	0	0	1	0	0	1	0	0	0	1	1	-1	1	-1	1
"SW1573_LUNG"	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	0	0	0	0	0	0	0	-1	1	0	0	0	0	-1	1	1	0	0	0	0	-1	0	0	0
"NCIH1703_LUNG"	0	1	-1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	-1	1	0	0
"HARA_LUNG"	0	0	-1	0	0	0	-1	0	0	0	1	0	0	1	-1	0	-1	0	0	0	0	-1	0	0	0	0	0	-1	0	1	0	-1	-1	0	1	-1	0	-1	0
"ABC1_LUNG"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	-1	0
"NCIH661_LUNG"	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	-1	1	0	0	0	1	0	0	0	0	-1
"VMRCLCP_LUNG"	0	0	0	0	1	1	-1	1	1	0	0	-1	0	0	-1	0	0	0	1	1	1	0	0	0	0	-1	0	-1	-1	0	-1	0	0	0	0	-1	1	-1	-1
"CFPAC1_PANCREAS"	0	0	-1	0	-1	0	-1	1	0	0	0	-1	0	-1	-1	0	0	0	0	1	1	0	0	0	0	-1	1	1	0	1	1	0	-1	0	0	-1	0	-1	-1
"LS123_LARGE_INTESTINE"	0	0	1	0	0	0	1	0	-1	-1	0	-1	-1	0	-1	0	1	0	0	1	1	0	-1	-1	0	0	0	-1	-1	1	0	0	0	1	0	-1	0	-1	1
"SW403_LARGE_INTESTINE"	0	0	0	0	0	0	1	-1	0	1	1	-1	0	-1	-1	-1	-1	-1	0	1	1	0	-1	0	0	-1	1	-1	-1	0	0	0	0	1	0	-1	1	0	0
"NCIH1568_LUNG"	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	-1	0	0	1	0	0	1	0	0
"NCIH1563_LUNG"	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	1	0	-1	1	0	0
"DAOY_CENTRAL_NERVOUS_SYSTEM"	-1	-1	0	0	0	0	-1	1	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	1	0	0	0	-1	0	0	-1	0	1	1	0	1	1	0	0	1	1
"NCIH146_LUNG"	1	0	0	0	1	0	0	-1	-1	1	-1	0	0	1	1	0	1	0	0	1	1	-1	-1	0	-1	-1	1	0	-1	0	-1	0	0	0	0	0	0	1	-1
"CHP212_AUTONOMIC_GANGLIA"	0	0	-1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LS1034_LARGE_INTESTINE"	0	0	1	1	1	0	1	0	1	1	1	-1	0	-1	-1	0	0	-1	0	1	1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
"SW1417_LARGE_INTESTINE"	0	0	0	1	0	0	-1	0	0	0	0	-1	0	0	-1	0	0	-1	0	-1	1	0	0	1	1	1	1	-1	-1	1	0	0	0	1	1	-1	0	0	0
"SW948_LARGE_INTESTINE"	-1	-1	0	0	0	0	1	-1	0	-1	-1	0	0	-1	-1	0	0	-1	0	0	1	-1	-1	1	1	0	0	-1	-1	0	-1	0	0	1	1	0	0	0	1
"RT4_URINARY_TRACT"	0	0	0	0	1	1	0	1	1	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
"CAPAN1_PANCREAS"	0	0	0	0	-1	0	0	0	0	0	0	-1	1	1	-1	0	0	0	0	-1	0	-1	0	0	0	0	1	-1	-1	1	0	0	-1	1	0	-1	0	-1	0
"MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
"A673_BONE"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A498_KIDNEY"	0	0	1	-1	0	0	0	-1	0	0	1	1	1	-1	-1	0	0	0	1	0	1	1	0	1	1	-1	0	0	0	1	0	-1	-1	1	1	0	1	1	1
"NCIH747_LARGE_INTESTINE"	0	0	1	1	0	0	0	-1	-1	0	0	-1	1	-1	-1	0	0	-1	1	-1	1	-1	-1	0	0	-1	1	-1	-1	1	1	0	0	1	0	0	0	0	1
"NCIH1437_LUNG"	0	0	-1	1	-1	1	-1	1	0	1	0	-1	0	0	0	-1	-1	0	0	-1	0	0	0	0	0	-1	1	-1	-1	0	0	0	-1	0	0	-1	1	0	0
"SKCO1_LARGE_INTESTINE"	0	0	0	0	0	0	1	1	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	1	0	1	1	-1
"SNU16_STOMACH"	0	0	0	0	-1	0	0	1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	-1	0	0	1	1	0	0	0	0
"RDES_BONE"	0	0	-1	1	1	1	0	-1	0	0	0	-1	0	1	1	-1	-1	1	1	1	1	1	0	0	0	-1	-1	0	-1	0	-1	0	0	0	0	1	1	0	0
"C3A_LIVER"	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"NCIH82_LUNG"	-1	-1	-1	-1	0	0	1	-1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	-1	0	0	-1	1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0
"PANC0213_PANCREAS"	-1	-1	0	0	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	0	0	0	1	-1	-1	0	0	0	0	0	0	1	0	0	-1	1	0	0	0	0	1
"SJRH30_SOFT_TISSUE"	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	1
"BT20_BREAST"	0	0	0	0	0	0	0	0	0	0	1	0	0	1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	-1	0	0	0
"SW1271_LUNG"	0	0	0	0	1	0	0	0	0	-1	0	0	0	-1	0	0	0	0	-1	1	1	0	0	0	0	0	0	0	-1	1	1	0	0	0	0	-1	0	-1	1
"MDAMB436_BREAST"	0	0	0	0	1	-1	-1	-1	1	0	-1	0	-1	-1	-1	0	-1	0	1	-1	0	1	-1	1	0	0	0	0	0	0	0	-1	1	1	1	0	0	0	1
"MDAMB361_BREAST"	-1	0	-1	-1	1	0	0	0	0	1	0	-1	1	0	-1	-1	0	-1	0	-1	0	-1	0	0	0	-1	0	0	0	1	-1	0	0	0	-1	-1	1	-1	0
"FADU_UPPER_AERODIGESTIVE_TRACT"	-1	0	0	0	1	0	0	1	0	0	1	0	0	0	-1	-1	0	1	0	-1	0	-1	0	0	0	0	0	-1	-1	1	0	0	0	0	0	-1	1	0	0
"HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	1	0	1	1	0	0	0	0	-1	0	0	0	0	1	1	1	1	0	0	1	1	1	-1	0	-1	-1	-1	0	0	1	0	0	0	1	1	1	1	0	0
